date,clicks,impressions,ctr,position
2026-07-17,1,42,0.02381,22.69
2026-07-18,0,30,0,21.6
2026-07-19,0,13,0,17.462
2026-07-20,1,36,0.027778,23.917
2026-07-21,1,43,0.023256,18.605
2026-07-22,1,35,0.028571,18.571
2026-07-23,1,25,0.04,20.96
2026-07-24,1,22,0.045455,20.591
2026-07-25,0,18,0,24.611
2026-07-26,0,33,0,19.697
2026-07-27,0,35,0,20.086
2026-07-28,1,54,0.018519,18.537
2026-07-29,3,40,0.075,29.9
2026-07-30,1,39,0.025641,23.205
2026-07-31,0,35,0,21.086
2026-08-01,0,44,0,22.523
2026-08-02,0,48,0,16.479
2026-08-03,2,46,0.043478,19.478
2026-08-04,1,66,0.015152,24.288
2026-08-05,0,56,0,16.464
2026-08-06,0,49,0,28.469
2026-08-07,0,47,0,15.851
2026-08-08,0,36,0,14.889
2026-08-09,2,82,0.02439,20
2026-08-10,1,75,0.013333,17.333
2026-08-11,2,67,0.029851,16.567
2026-08-12,0,116,0,18.75
2026-08-13,1,67,0.014925,16.06
