date,clicks,impressions,ctr,position
2026-05-01,4,354,0.011299,8.232
2026-05-02,2,240,0.008333,9.067
2026-05-03,3,346,0.008671,7.994
2026-05-04,6,391,0.015345,6.997
2026-05-05,2,379,0.005277,7.145
2026-05-06,0,367,0,8.548
2026-05-07,8,515,0.015534,7.454
2026-05-08,6,395,0.01519,8.78
2026-05-09,1,275,0.003636,8.556
2026-05-10,4,412,0.009709,7.985
2026-05-11,7,336,0.020833,9.167
2026-05-12,7,360,0.019444,9.025
2026-05-13,3,354,0.008475,8.627
2026-05-14,5,500,0.01,8.832
2026-05-15,4,268,0.014925,9.522
2026-05-16,8,279,0.028674,9.19
2026-05-17,10,345,0.028986,7.499
2026-05-18,10,314,0.031847,7.653
2026-05-19,10,246,0.04065,7.024
2026-05-20,6,242,0.024793,9.409
2026-05-21,4,246,0.01626,8.496
2026-05-22,2,135,0.014815,9.867
2026-05-23,1,74,0.013514,11.743
2026-05-24,0,49,0,12.429
2026-05-25,0,35,0,16.114
2026-05-26,1,60,0.016667,14.683
2026-05-27,0,43,0,9.953
2026-05-28,3,58,0.051724,15.966
