date,clicks,impressions,ctr,position
2026-07-03,0,39,0,28.231
2026-07-04,0,39,0,18.769
2026-07-05,0,50,0,22.02
2026-07-06,1,46,0.021739,10.435
2026-07-07,1,51,0.019608,18.961
2026-07-08,0,68,0,23.838
2026-07-09,0,40,0,18.125
2026-07-10,0,45,0,25.311
2026-07-11,0,54,0,21.907
2026-07-12,2,34,0.058824,21.765
2026-07-13,0,80,0,34.112
2026-07-14,1,41,0.02439,18.878
2026-07-15,1,60,0.016667,25.867
2026-07-16,1,38,0.026316,22.263
2026-07-17,1,42,0.02381,22.69
2026-07-18,0,30,0,21.6
2026-07-19,0,13,0,17.462
2026-07-20,1,36,0.027778,23.917
2026-07-21,1,43,0.023256,18.605
2026-07-22,1,35,0.028571,18.571
2026-07-23,1,25,0.04,20.96
2026-07-24,1,22,0.045455,20.591
2026-07-25,0,18,0,24.611
2026-07-26,0,33,0,19.697
2026-07-27,0,35,0,20.086
2026-07-28,1,54,0.018519,18.537
2026-07-29,3,40,0.075,29.9
2026-07-30,1,39,0.025641,23.205
