date,clicks,impressions,ctr,position
2026-05-29,1,67,0.014925,10.716
2026-05-30,1,65,0.015385,9.892
2026-05-31,0,88,0,14.659
2026-06-01,3,36,0.083333,14.083
2026-06-02,0,17,0,19.824
2026-06-03,1,42,0.02381,19.524
2026-06-04,0,37,0,16.297
2026-06-05,0,29,0,11.414
2026-06-06,0,34,0,13.412
2026-06-07,1,39,0.025641,20.026
2026-06-08,0,39,0,20.667
2026-06-09,1,58,0.017241,20.724
2026-06-10,0,46,0,18.217
2026-06-11,2,39,0.051282,11.641
2026-06-12,0,52,0,13.019
2026-06-13,0,60,0,31.7
2026-06-14,0,97,0,16.072
2026-06-15,0,54,0,17.944
2026-06-16,0,92,0,12.967
2026-06-17,1,57,0.017544,28.632
2026-06-18,0,64,0,19.781
2026-06-19,0,53,0,13.66
2026-06-20,1,48,0.020833,18.354
2026-06-21,2,65,0.030769,20.277
2026-06-22,1,39,0.025641,15.949
2026-06-23,0,31,0,21.516
2026-06-24,0,12,0,29.917
2026-06-25,1,16,0.0625,16.125
